        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Image               | UEFI                  | 00000000 | 01000000 | D1CF83DA |  UEFI image
 Volume              | FFSv2                 | 00000000 | 00030000 | 2599E86D | - FA4974FC-AF1D-4E5D-BDC5-DACD6D27BAEC
 File                | Raw                   | 00000078 | 0002FF88 | BBE805DC | -- CEF5B9A3-476D-497F-9FDC-E98143E0422C | NVAR store
 NVAR entry          | Full                  | 00000090 | 00005012 | F8E840E3 | --- 4599D26F-1A11-49B8-B91F-858745CFF824 | StdDefaults
 NVAR entry          | Full                  | 000000A7 | 00000E38 | A54F47DB | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | Setup
 NVAR entry          | Full                  | 00000EDF | 0000001E | 94187FA9 | ---- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PlatformLang
 NVAR entry          | Full                  | 00000EFD | 00000015 | F0B3B0A4 | ---- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | Timeout
 NVAR entry          | Full                  | 00000F12 | 00000068 | 8A157268 | ---- C811FA38-42C8-4579-A9BB-60E94EDDFB34 | AMITSESetup
 NVAR entry          | Full                  | 00000F7A | 000003D7 | 8E34999A | ---- B08F97FF-E6E8-4193-A997-5E9E9B0ADB32 | CpuSetup
 NVAR entry          | Full                  | 00001351 | 0000058B | 0F3329D6 | ---- 72C5E28C-7783-43A1-8767-FAD73FCCAFA4 | SaSetup
 NVAR entry          | Full                  | 000018DC | 00000823 | C72F94D4 | ---- 4570B7F1-ADE8-4943-8DC3-406472842384 | PchSetup
 NVAR entry          | Full                  | 000020FF | 00000044 | B80C4922 | ---- A1D89A3A-4A90-429D-4365-1F64C3A29614 | NhltEndpointsTableConfigurationVariable
 NVAR entry          | Full                  | 00002143 | 00000049 | BBE6F5C4 | ---- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetup
 NVAR entry          | Full                  | 0000218C | 0000002C | 755676A8 | ---- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetupStorage
 NVAR entry          | Full                  | 000021B8 | 0000001A | 9C60C009 | ---- AAF8E719-48F8-4099-A6F7-645FBD694C3D | SiSetup
 NVAR entry          | Full                  | 000021D2 | 00000020 | 4646CAA9 | ---- B5FBE0C8-A72A-408D-859C-0FD7537AAA5F | LpeSetup
 NVAR entry          | Full                  | 000021F2 | 0000002C | 4773E518 | ---- DE0A5E74-4E3E-3D96-A440-2C96ECBD3C97 | DebugConfigData
 NVAR entry          | Full                  | 0000221E | 00000020 | BB7ADAE8 | ---- C61C31A3-CB5D-46DD-9FE5-8A82BBC72483 | AmiWrapperSetup
 NVAR entry          | Full                  | 0000223E | 00000019 | A07E6D39 | ---- 6B0CC1BC-910F-411E-B6CB-0E314D0BB8C1 | SioSetupData
 NVAR entry          | Full                  | 00002257 | 00000047 | 1BF65252 | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | UsbSupport
 NVAR entry          | Full                  | 0000229E | 00000023 | DE6B6B71 | ---- D1405D16-7AFC-4695-BB12-41459D3695A2 | NetworkStackVar
 NVAR entry          | Full                  | 000022C1 | 00000072 | 143E9734 | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | SdioDevConfiguration
 NVAR entry          | Full                  | 00002333 | 00000022 | 57F44DC9 | ---- 7B59104A-C00D-4158-87FF-F04D6396A915 | SecureBootSetup
 NVAR entry          | Full                  | 00002355 | 0000001C | B8E34707 | ---- ACA9F304-21E2-4852-9875-7FF4881D67A5 | PCI_COMMON
 NVAR entry          | Full                  | 00002371 | 0000004C | AAAB50A3 | ---- 8007A20B-2BB6-4102-9B29-8390C7DD2096 | AcerUsbDeviceConfigurationSetupVar
 NVAR entry          | Full                  | 000023BD | 0000001B | 864782E3 | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AcerTimeData
 NVAR entry          | Full                  | 000023D8 | 00000021 | CB2D3DAC | ---- 31AE1D53-9A52-4E7A-BFEA-AACA1555E3AE | OemSetupItemSecurity
 NVAR entry          | Full                  | 000023F9 | 0000001F | 4E236EF8 | ---- 48E75953-73C0-485F-BC7F-09279BBE31F3 | AcerTestLogCount
 NVAR entry          | Full                  | 00002418 | 0000002F | FCF37D3F | ---- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | OverVoltageData
 NVAR entry          | Full                  | 00002447 | 00002B0B | ACF1639E | ---- ED6D18B3-16BD-40D8-8950-F0C592F6FA16 | MebxCfg
 Padding             | Empty (FFh)           | 00004F52 | 00000010 | 3FB3C61A | ---- Padding
 NVAR GUID store     |                       | 00004F62 | 00000140 | 1CD85674 | ---- GUID store
 NVAR entry          | Full                  | 000050A2 | 0000001D | A9D129B0 | --- 97E8965F-C761-4F48-B6E4-9FFA9CB2A2D6 | DeploymentModeNv
 NVAR entry          | Full                  | 000050BF | 00000019 | F52D77E9 | --- 550E42E1-B6FA-4E99-BBD9-1A901F001D7A | VendorKeysNv
 NVAR entry          | Full                  | 000050D8 | 0000002A | 1530D1AF | --- 402635B0-C987-4128-B991-A2F9AEB849D0 | AcerDeviceEnablingServiceFlag
 NVAR entry          | Full                  | 00005102 | 00001445 | 9B4A512E | --- D719B2CB-3D3A-4596-A3BC-DAD00E67656F | db
 NVAR entry          | Full                  | 00006547 | 00000E31 | 98E9FA67 | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | KEK
 NVAR entry          | Full                  | 00007378 | 000003F4 | 5FD8EA9F | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | PK
 NVAR entry          | Full                  | 0000776C | 0000005B | BE7DAFA6 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | WriteOnceStatus
 NVAR entry          | Full                  | 000077C7 | 00000029 | 3B12804A | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | SmbiosEntryPointTable
 NVAR entry          | Full                  | 000077F0 | 0000002D | 7FC56921 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | SmbiosEntryPointTableF000
 NVAR entry          | Full                  | 0000781D | 0000002B | D13C3540 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | SmbiosV3EntryPointTable
 NVAR entry          | Full                  | 00007848 | 00000027 | F7CE6CB9 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | SmbiosScratchBuffer
 NVAR entry          | Full                  | 0000786F | 0000001E | 67F55CE6 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | MaximumTableSize
 NVAR entry          | Full                  | 0000788D | 0000002E | 974A4B36 | --- BB983CCF-151D-40E1-A07B-4A17BE168292 | MemoryOverwriteRequestControlLock
 NVAR entry          | Full                  | 000078BB | 00000036 | F8CDFAB4 | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | ConOut
 NVAR entry          | Full                  | 000078F1 | 0000002D | 931220B4 | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | ConIn
 NVAR entry          | Full                  | 0000791E | 0000001D | 922D6452 | --- 1B838190-4625-4EAD-ABC9-CD5E6AF18FE0 | HiiDBSize
 NVAR entry          | Full                  | 0000793B | 00000045 | 9D2E62C5 | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | CurrentPolicy
 NVAR entry          | Full                  | 00007980 | 00000514 | 878EFA32 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiArray
 NVAR entry          | Full                  | 00007E94 | 00000033 | 24A29C0D | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0200020700
 NVAR entry          | Full                  | 00007EC7 | 0000002C | 6564AFFF | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100010800
 NVAR entry          | Full                  | 00007EF3 | 00000021 | ED415BDF | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100010400
 NVAR entry          | Full                  | 00007F14 | 0000002D | FE107764 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100010500
 NVAR entry          | Full                  | 00007F41 | 0000002B | 371114BA | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100011A00
 NVAR entry          | Full                  | 00007F6C | 00000021 | 65DE57A7 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0200020400
 NVAR entry          | Full                  | 00007F8D | 00000031 | 264CA78D | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0200020500
 NVAR entry          | Full                  | 00007FBE | 00000021 | 1DAB538F | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0300030400
 NVAR entry          | Full                  | 00007FDF | 00000033 | 695A6F70 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100010700
 NVAR entry          | Full                  | 00008012 | 00000038 | D2FFFC94 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0B000B0100
 NVAR entry          | Full                  | 0000804A | 0000002D | D11FA471 | --- 4B3082A3-80C6-4D7E-9CD0-583917265DF1 | DmiVar0100011900
 NVAR entry          | Full                  | 00008077 | 00000022 | 9885D822 | --- 7B59104A-C00D-4158-87FF-F04D6396A915 | SecureBootSetup
 NVAR entry          | Full                  | 00008099 | 00000018 | 48947B76 | --- 54429E97-CE7F-499C-831D-E6CAA58F178C | MULTISYSFAN
 NVAR entry          | Full                  | 000080B1 | 00005B43 | 3889BC49 | --- D719B2CB-3D3A-4596-A3BC-DAD00E67656F | dbx
 NVAR entry          | Full                  | 0000DBF4 | 00000023 | 69BDEFD1 | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | WindowsBootChainSvn
 NVAR entry          | Full                  | 0000DC17 | 00000025 | 424C958D | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | BootingDeviceTypeInfo
 NVAR entry          | Full                  | 0000DC3C | 000000EA | CBC5C786 | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | VsmLocalKey2
 NVAR entry          | Full                  | 0000DD26 | 00000020 | C086DB0D | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | CurrentActivePolicy
 NVAR entry          | Full                  | 0000DD46 | 00000023 | DA6FD7CF | --- 77FA9ABD-0359-4D32-BD60-28F4E78F784B | BootDebugPolicyApplied
 NVAR entry          | Full                  | 0000DD69 | 00000023 | 7BE0FB7F | --- D1405D16-7AFC-4695-BB12-41459D3695A2 | NetworkStackVar
 NVAR entry          | Full                  | 0000DD8C | 0000001D | C857E685 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AcerIsNvramClear
 NVAR entry          | Full                  | 0000DDA9 | 00000026 | E2D5B08A | --- EB15823E-FD0E-4A91-9532-A39CCAC78CCD | AcerBootGroupCount
 NVAR entry          | Full                  | 0000DDCF | 00000043 | CE7AE99D | --- EB15823E-FD0E-4A91-9532-A39CCAC78CCD | AcerBootHDDPriorityData
 NVAR entry          | Full                  | 0000DE12 | 00000043 | 071B5484 | --- EB15823E-FD0E-4A91-9532-A39CCAC78CCD | AcerBootODDPriorityData
 NVAR entry          | Full                  | 0000DE55 | 00000043 | C971EA27 | --- EB15823E-FD0E-4A91-9532-A39CCAC78CCD | AcerBootREMPriorityData
 NVAR entry          | Full                  | 0000DE98 | 00000043 | C28E1309 | --- EB15823E-FD0E-4A91-9532-A39CCAC78CCD | AcerBootNETPriorityData
 NVAR entry          | Full                  | 0000DEDB | 0000001C | 77E3E6FA | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | AcerSku
 NVAR entry          | Link                  | 0000DEF7 | 00000020 | FE3E7A4E | --- 01368881-C4AD-4B1D-B631-D57A8EC8DB6B | MonotonicCounter
 NVAR entry          | Full                  | 0000DF17 | 00000049 | 2C325628 | --- 5432122D-D034-49D2-A6DE-65A829EB4C74 | MeSetup
 NVAR entry          | Full                  | 0000DF60 | 00000074 | 42B1F886 | --- 4B63986C-20B3-49C6-91A8-8A1B968D5AB3 | AcousticVarName
 NVAR entry          | Full                  | 0000DFD4 | 00000034 | 2EC23B9B | --- 368B3153-563D-4610-8D94-47A9FA8C4C16 | BiosGuardCapsuleVariable
 NVAR entry          | Full                  | 0000E008 | 00000039 | 5D982142 | --- 711C703F-C285-4B10-A3B0-36ECBD3C8BE2 | CapsuleLongModeBuffer
 NVAR entry          | Full                  | 0000E041 | 0000001E | 0CADB37A | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | InitSetupVariable
 NVAR entry          | Full                  | 0000E05F | 0000001E | 16CCE2FC | --- 78CE2354-CFBC-4643-AEBA-07A27FA892BF | WdtPersistentData
 NVAR entry          | Full                  | 0000E07D | 00000019 | 6F15EC12 | --- EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9 | IsFlashNvram
 NVAR entry          | Full                  | 0000E096 | 00000021 | BE21D16B | --- 7D3DCEEE-CBCE-4EA7-8709-6E552F1EDBDE | TPMPERBIOSFLAGS
 NVAR entry          | Full                  | 0000E0B7 | 00000030 | A87C3F30 | --- A8A2093B-FEFA-43C1-8E62-CE526847265E | AMITCGPPIVAR
 NVAR entry          | Full                  | 0000E0E7 | 00000029 | 4C31480C | --- 70FFF0FF-A543-45B9-8BE3-1BDB90412080 | PCRBitmap
 NVAR entry          | Full                  | 0000E110 | 00000020 | A5B31803 | --- F3ED95DF-828E-41C7-BCA0-16C41965A634 | TcgInternalSyncFlag
 NVAR entry          | Full                  | 0000E130 | 0000001D | 24EC2F3C | --- 8BE4DF61-93CA-11D2-AA0D-00E098032B8C | HwErrRecSupport
 NVAR entry          | Full                  | 0000E14D | 00000019 | 8FC8EA5C | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | SPLC
 NVAR entry          | Full                  | 0000E166 | 00000017 | EC70B255 | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | WAND
 NVAR entry          | Full                  | 0000E17D | 00000013 | 2CC7A50B | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | WRDD
 NVAR entry          | Full                  | 0000E190 | 0000001C | 16892B0C | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | WRDS
 NVAR entry          | Full                  | 0000E1AC | 00000031 | EA6DC1B9 | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | EWRD
 NVAR entry          | Full                  | 0000E1DD | 00000023 | 7A21C7BE | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | WGDS
 NVAR entry          | Full                  | 0000E200 | 00000012 | B5F81A77 | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | SADS
 NVAR entry          | Full                  | 0000E212 | 00000012 | 3B771D94 | --- 42780DD5-9A7D-404C-80E4-7F7094360394 | SADS
 NVAR entry          | Full                  | 0000E224 | 0000001C | 4613764E | --- 92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA | GPC
 NVAR entry          | Full                  | 0000E240 | 0000001C | AC95AB2C | --- 42780DD5-9A7D-404C-80E4-7F7094360394 | GPC
 NVAR entry          | Full                  | 0000E25C | 00000018 | A30EC5D5 | --- 42780DD5-9A7D-404C-80E4-7F7094360394 | BRDS
 NVAR entry          | Full                  | 0000E274 | 0000002D | 9A6FDA74 | --- E65D8884-D4AF-4B20-8D03-772ECC3DA531 | IntelUefiCnvWwanSkuSupport
 NVAR entry          | Full                  | 0000E2A1 | 0000F7F8 | 4748CB6C | --- C94F8C4D-9B9A-45FE-8A55-238B67302643 | MemoryConfig
 NVAR entry          | Full                  | 0001DA99 | 0000001A | D3347C6D | --- 48E75953-73C0-485F-BC7F-09279BBE31F3 | AcerOcProfile
 NVAR entry          | Full                  | 0001DAB3 | 00000028 | D905252D | --- 0EAB05C1-766A-4805-A039-3081DE0210C7 | FmpState
 NVAR entry          | Full                  | 0001DADB | 0000001A | C023E30B | --- 269BD1ED-2BC6-4979-B682-D9C8F5533DDF | SysFwMeLsv
 NVAR entry          | Full                  | 0001DAF5 | 00000823 | EEBE15E7 | --- 4570B7F1-ADE8-4943-8DC3-406472842384 | PchSetup
 NVAR entry          | Link                  | 0001E318 | 0000002D | 3D2B44E3 | --- EA1FCAEE-3A77-4BB8-9B98-518E75D29A99 | MotherBoardHealth
 NVAR entry          | Full                  | 0001E345 | 0000001C | 6CA4E2DE | --- D838C8F7-8D9A-46B1-BBD6-27C6C4277179 | CountrySupport
 NVAR entry          | Full                  | 0001E361 | 00000024 | D934E16F | --- CA2FC9C8-71E7-4F72-B433-C284456FF72B | IntelRstFeatures
 NVAR entry          | Full                  | 0001E385 | 0000005E | CF6529D7 | --- 61A14FE8-4DAB-4A19-B1E3-97FB23D09212 | IntelVmdOsVariable
 NVAR entry          | Full                  | 0001E3E3 | 00000018 | E5DB9D6B | --- FC876842-D8F0-4844-AE32-1FF843797B17 | UsbTypeC
 NVAR entry          | Full                  | 0001E3FB | 00000023 | 08CFDD12 | --- ACA9F304-21E2-4852-9875-7FF4881D67A5 | PCI_DEV_7F_PCI
 NVAR entry          | Full                  | 0001E41E | 0000002A | 3A3A473A | --- ACA9F304-21E2-4852-9875-7FF4881D67A5 | PCI_DEV_7F_PX1
 NVAR entry          | Full                  | 0001E448 | 00000028 | 3F2EE0EA | --- ACA9F304-21E2-4852-9875-7FF4881D67A5 | PCI_DEV_7F_PX2
 NVAR entry          | Full                  | 0001E470 | 00000029 | 68AE59C7 | --- 1E785E1A-8EC4-49E4-8275-FBBDEDED18E7 | BoardInfoSetup
 NVAR entry          | Full                  | 0001E499 | 0000002F | 8286C6CB | --- C095791A-3001-47B2-80C9-EAC7319F2FA4 | FirmwarePerformance
 NVAR entry          | Full                  | 0001E4C8 | 00000034 | C9CE2A13 | --- 973218B9-1697-432A-8B34-4884B5DFB359 | S3MemoryVariable
